,song,year,album,genre,artist,lyric
0,11:55,1993,Shock of the Hour (1993),,MC Ren,"Because we got the streets suckas
Can you dig it???
I wanna get right to the point
He's here
""He's unique, he's unconquerable.""
(Repeated)
MC Ren, MC Ren is a killa of the crafted men
Twas the night before the ball struck
And all the snakes was outta sight
And of all those cat hangs
And all the solutions
Now it's like do or die
So salute to the battle cry
And all the real niggaz
Step up to the frontline
You don't want two scoops of fruit loops
For the real troops
'Cause it's about a quarter to midnight
15 ticks to catch 15 licks in the fizzot
Who lettin' the heads get chopped and mack 10's pop pop
For all those too slow for the tempo of tizzongue
Because all those who can't hang get hung
And those who can't take charge get dault
So come and walk, coming strong
Coming long, 'cause we been down for too damn long
And not a soldier, a soldier
Nigga I thought somebody was older
'Cause the days of bein' a slave livin' in the grave is over
Ain't no more that shall overcome 'cause we been overcame
So I'm packin' 'quips full of golds for all you G's trapped in shame
Listen to the sound of the midnight poker chain
Livin' in an underground railroad
Takin' aim and set to cause much pain
So hitch a ride on the midnight trizzain
One million ways to die
So devil don't even try
I'm packed, ready and willin' to get a government killa
So welcome to the land of the drive by"
1,All Bullshit Aside,1993,Shock of the Hour (1993),,MC Ren,"Yeah, check this out, Ren is back in this mothafucka for 93'
For all y'all punk ass niggaz that thought I was'nt gonna do this shit,
Back there talkin' all that shit, won't believe me and my shoots,
Fuck all y'all niggaz 'cause I come back hard 93',
So all you punks mothafuckaz check yourself niggaz!
I killed that bitch that waited 40 ounces
Start hittin' my switches 'cause my 40 bounces
Lean to the side like a mack would do
Or I can come off like a G and mothafucka I'll jack you
'Cause niggaz be talkin' that shit 'cause I'm fuckin' the rest and I can't scrap
Who needs to scrap, my niggaz commin' from de back.
So bitches hold your panties up, tick your tits
'Cause mothafuckin' Ren is makin' mothafuckin' hits
Still sportin' cackies keep my dick in my dickies
Only wave 'em up when bitches wanna give 'em hickeis
Other than that, I'm lookin' up for #1
'Cause #2 I did'nt trust so my nigga had to bust
Burry him in the back another weedplants
My niggaz said it was the reason why the weed is so dope
Grab another bitch twist the panties off the top
Open up my mouth and let the old English drop
Buzz for a minute - could'nt walk a straight line
But that shit don't stop Ren from writin' a rhyme
And punk mothafuckaz can't hide, from a nigga
Homicide all bullshit aside ...
Kick it ...
Yeah, put de fuckin' bullshit aside [oh yeah, yeah]
Yeah, put de fuckin' bullshit aside [you wanna fuck with me?]
Yeah, put de mothafuckin' bullshit aside [nigga step off nigga!]
Yeah, put de mothafuckin' bullshit aside [mothafucka]
Take donations from my niggaz for de booth
I thinkin' of gettin' a case better yet I get two
Slap up de phone 6 3 2 15
Bitches ring the bell - it's a fuckin' tight jeans
A kiss on my chick but my dick is gettin' jealos
She whispers she want suck and when we're not around de fellows
Fuck that shit, bitch, do what you gotta do
'Cause when you're fuckin' with Ren ho' my niggaz peoplez too
Now I'm zippin' on my blue black car
Thinkin' of the times in the blvd
I saw people out there gettin' gangsta shit
Niggaz shootin' every night - niggaz lootin' and shit
Sendin' niggaz straight to the coffin
And this type of shit in the streets it's very often
The shit is like an everyday thang to me
A lot of niggaz on my block I have 'em slang for me
But that ain't shit, my true niggaz stay down
De plasma hard G'z don't be fuckin' around
And why would you even think to hide,
Nigga 'cause you got all bullshit aside, check it ...
Yeah, put de fuckin' bullshit aside [yeah nigga]
Yeah, put de fuckin' bullshit aside [nigga you think you can fuck with me?]
Yeah, put de fuckin' bullshit aside [that is not what I said]
Yeah, put de mothafuckin' bullshit aside mothafucka
Train came in in some cackey shorts
And he came up on the hand at the basketball court
Takin' niggaz money shootin' dice at the pawn
The mothafucka starts to leave when it starts to get dark
'Cause Ren has don't got no mothafuckin' name,
When he's shot by a nigga from my mothafuckin' game
The niggaz in de house just kickin' it
Bitches on they're knees straight lickin' it
Ren is in control, bitches call me the mesaiach
I zip on some old drink fool so I can stay higher
Cakeys is krist, fresh from the surplus
My little nigga ball starts to pull up a fass
So now they drunk his beer so he put out a tattoo
So we walk the tommy dog that's the will nigga anthem
So Juvi' pass the movie it's ""American Me""
The only movie that's allowed to be watched by a G
Now bitches just commin' out of blockz and flatz
So you can hear a smokin' ho's yo for rockz and blantz
Takin' these bitches for a ride, treat 'em all like
Ho's all bullshit aside ..."
2,Attack on Babylon,1993,Shock of the Hour (1993),,MC Ren,"""Is America like ancient Rome?""
""Is America like ancient Babylon?""
""Come on, come on, come on, come on, come on.
I wanna hear from you""
I told ya Ren'll be back with the niggaz in the Dodge and the camoflauge
But it after Tahj, a million niggaz no mirage
Creepin' and we're creepin' in your little white Hutz
20 million niggaz chantin' I don't give a fuck
It's on, the switch got flicked but who did it?
When that shit was committed, fuck that was my mack
Niggaz gettin' crazy 'cause Ren is in the front
With supreme wisdom, puffin' on a blunt
Train by my side tearin' up shit
With his bulletproof vest, still yellin' double S
The whole community is up in a rage
'Cause niggaz be movin' closer to white motherfuckers'll make 'em as slaves
And then they put these sell out niggaz on the TV
To try to calm down niggaz like you and me
But fuck that shit, 'cause my eyes are closed
'Cause Ren ain't got time to be fuckin' 'round with them hoes
So I see ya at the grave where we bury 'em
Even motherfuckers that went out and even married 'em
Now it's time to attack take this motherfucker back
Bring it on, and it's on
Attack, attack, attack on Babylon
Here comes the doom, so listen to the tick of the tock
Can't keep niggaz off your block, don't forget we got the glock
And the sawed-off, and the trey 8's
And the duce duce, and the niggaz in the pen breakin' loose
So Ren will conduct this, but I pull my dick and say suck this
For the niggaz that say fuck this
That ain't down, and step foot into the car
To commit the 187 with the nigga they call outlaw
But who gives a fuck who pulled the trigger
'Cause I know some bitches that shot up a gang a niggaz
Gettin' off the reservations, breakin' up the docks
Doin' this with 15 shots
Babylon, a great look at the bitch while she fall
Dyin' like a motherfucker with no one to call
Now it's time to attack, take this motherfucker back
You bring it on, and it be on
Where the fuck ya gonna run, when the fuckin' ground starts shakin'
Niggaz don't be waitin', niggaz be constantly makin'
Niggaz with no hesitation, a fuck up in this nation
To murder the caucasian, the Asian invasion
So here we come, come, come
My nigga Rhythm D is on the drum, drum, drum
The mayday, oh it's a dreadful day
When no motherfucker can come out to play
It goes (5 gunshots)
Niggaz lettin' off and the shit is all that
So stay inside the house if you ain't down
'Cause you might get caught up you sad faced clown
Then I'll bring ya to ya knees, fuckin' with these
Fuckin' with niggaz that's a hive a bees
We go stingin', but dumbass niggaz keep singin'
No time for singin', too busy swingin'
So it's time to attack, take this motherfucker back
Y'all brought it on, so now it's on"
3,Behind The Scenes,1992,Kizz My Black Azz (1992),,MC Ren,"Behind the Scenes
Now this is the bitch who made straight A's,
But never got a look out of the house back in de
Dayz
And when she was at school she gave people dirty
Looks,
She always carried books and thought me and my
Friends were crooks,
You always see the bitch in her classes,
She never wore pants she wore a dress and some
Glasses,
Teachers used to brag, she was the teacher's pet,
And the nigguz used to brag how much they wanna get
Her wet,
Usless to aproach her 'cause she didn't talk,
But you would say ""fuck it"" when you saw the bitch
Walk,
Ass hanging out by the pound,
And that's the reason why niggaz wanted to get her
Panties down,
She kept to herself in the hallways,
And never looked at niggaz like all day,
And when the last bell rung she was gone,
So one day I decided to follow the bitch home,
Her mother was at work she would'nt get home till
6,
So it was time for ren to put the bitch in the mix,
'Cause back in the school it was every nigguz dream,
So now it's time to get a closer look behind the
Scene!
""All the pimps, the hores, the pulldaggers, the
Cocksuckers,
Gave 100$ bill just to see""
Now I made it to her house but she would'nt let me
In yo,
So I said fuck it, snuck around to the window,
She get into the room and start to undress,
Now I'm biting on my lips saying ""damn this bitch
Is blessed!""
The doorbell rung, it was the nextdoor neighbor,
And he was asking her, could she do him a favour,
She grabbed de nigga's hand and took him in the
Room,
And laid on the back as he fucked her with a
Broom,
He said he wanted to go but then she said,
She wanted him to eat the pussy so she grabbed his
Head,
And he started eating it like a thanksgiving dinner,
He made the bitch come and then he put his dick up
In her,
She scratched up his back with her claws,
But she was screaming so loud he had to gag her
With his draws,
And after they finished fucking yo the bitch took a
Shower,
To wash off the sweat from the last half hour,
The bitch put out some bud and then she started to
Smoke,
Took a swig of Jack Daniels and made a few lines of
Coke,
The nigga said ""shit, gotta go"",
Bcuz this innocent little girl is a ho!
Yo behind the scenes!
""Nobody in ... my neighborhood"" MiX
Now I went back to school the very next day,
And I knew that my niggaz won't believe what I had
To say,
I told them what I saw and nigguz said ""yeah right"",
So I told the mothafuckaz to come over there
Tongiht,
Now there's 10 real niggaz at her window,
Waiting to see a ho like at a matinee show
They thought that I was lying 'cause we waited 1 hour,
And when we started to leave the bitch walked out
Da shower,
Ass hanging out as she laid on the bed,
Her bottomlips was hanging and she started
Fingerbanging,
Her daddy walked in and started beating her with a
Belt,
The bitch was so hot she made the leather start to
Melt,
But she was liking it,
Yelling ""daddy give it to me harder"",
Then he took off all his clothes and start fucking
His daughter,
My niggaz outside did'nt believe what they would
See-some,
And when her mama got home, they turned into a
Threesome,
Her mama ate the pussy while her daddy doggystyled
It,
The family prayed together and they also laid
Together,
I could'nt take no more 'cause I was too much of a man,
So I jumped right through the window with my dick in
My hand,
The family didn't mind and kept doing what they was
Doing,
'Cause now it was even it was 2 against 2,
And 'bout a couple minutes after I was in,
All my niggaz jumped in all 10 yo behind the scenes!
""This is a bitch who did the whole crew""
""Yes daddy I love you""
""She like suckin' on dicks ... and lickin' up
Nut... and she'll even take a broomstick up the butt!"""
4,Bitch Made Nigga Killa,1996,The Villain in Black (1996),,MC Ren,"1995 and Compton's still up in this motherfucker
Yeah, this album's dedicated to all you real niggaz
But most of all it's dedicated to you bitch ass niggaz
Who is it? The bitch made nigga killa
I'm swingin' on niggaz ever time I feel 'um
'Cause niggaz walkin' 'round with they're ass out
So I'll be droppin' funky shit till they pass out
These bitch made niggaz swingin' on the dick
Back the fuck up before I have a fit
I'm peelin' niggaz caps, makin' gang of snaps
Be true to this shit with hard motherfuckin' raps
187 bitch slappin' on the track
Makin' fools break theyself like as if it was a jack
Keep a big stick just incase I gotta swing
The heater is the mack, stashed at the shack
So while your rollin', date is in your force mobile
Just remember motherfuckers the shit caps I peel
Niggaz just a piece of cheese for a hood rat
Falsin' for a hooker and I never understood that
'Cause it's the same old shit everyday and every night
'Cause nigga Ren won't put it down if the shit ain't tight
So listen to the funk as I deal 'um
To a bitch made nigga, I'm the bitch made nigga killa
You know the color the villain's in black
Bitch made niggaz better watch they back
You know the color the villain's in black
Beatin' niggaz ass and it's like that
And I'm stalkin', walkin' in my khaki suit
Tryin' to see what niggaz I'm a have to shoot
This ain't a bang-bang boogie like the new booty flow
New niggaz tryin' to do the shit I did years ago
'Cause if it ain't rough it ain't E-motherfuckin' nuff
You bitch made niggaz, here to call you're bluff
Pull your ho card, like my nigga cab said
Crack my big stick up against your damn head
Yeah, radio suckas never play me
But you can hear bitch made niggaz on daily
Ren gonna have to put his foot down
Motherfuckers ain't gonna like how it's put down
So mic check one, whatever I don't give a damn
Me be ready to slam, when I hit the jam
So yell controversy when I bust a rhyme
No more irresitable bitch made niggaz in '99
Black reign is coming, niggaz it's bad weather
Whenever 187 and Ren get together
And listen to the funk as I deal a
Blow to these bitch made niggaz, I'm the bitch made nigga killa
Hypocrite niggaz always runnin' they mouth
>From the north, to the east, to the west, and south
'Cause the freaks come out at night
And all bitch made niggaz be comin' 'cause you have no friends
So don't come around playin' double-O 7
'Cause your ass might get caught in a two-eleven
Niggaz don't call me 'less the video is poppin'
Only come around when my new shit's droppin'
Niggaz ain't nothin' but some hound dogs I betcha
You bitch made niggaz didn't know I was the bitch catcher
I'll choke ya with a grip
Stranglin' motherfuckers not come correct, so don't slip
Real niggaz don't die, so I'm still alive
Fuckin' up shit in '94 and '95
'Cause I'm livin' like a hustler
Busta, heard you was talkin' that shit so ya musta
Thought it wouldn't get back to me
Niggaz ya shoulda thought a million times before you tried to do me
But listen to this funk as I deal a
Blow to you bitch made niggaz, I'm the bitch made nigga killa
You know the color, the villain's in black"
5,Bring It On,1996,The Villain in Black (1996),,MC Ren,"(Feat. Above The Law, Triggerman, Dr. Khalid Muhammad)
(Intro: Dr. Khalid Muhammad talking)
""Welcome to America""
Good evening, this is the truth hour
And don't you touch that dial
You stay tuned in, to the truth hour
I didn't come to lighten up, I came to tighten up [Crowd goin' nuts]
(Verse 1: MC Ren)
Niggaz, here I come, black nigga, the gorilla
Bustin' shit, who is it, it's the bitch made nigga killa
I control the streets, shit is all underground
Niggaz gotta step the fuck back when I come around
Nigga, fuck the police, the white one, the black one
The Mexican, the Japanese can all suck deez
Cause how in the fuck can you serve this government
That be plottin' to kill niggaz, they want to steel niggaz
Here we are today, 30, 40 million strong
Handkerchief-headed niggaz sayin' ain't shit wrong
Niggaz don't give a fuck about your three strikes
That's why I give you hell when I'm bustin' on the mic
I got niggaz in the cut of the ninety-one
Niggaz in the streets sellin' heaters, I'm a find me one
And off them devils off from the shack, Ugh ""yeah, ugh, yeah""
Fools goin' crazy cause that nigga 'Ren is back...
(Verse 2: Cold 187um)
What's up, dog, it's on once again, let them fools know
When we comin' through we straight givin' you the voo doo
Keep it real if you like it or you don't
Workin' hard like bugs, straight have know what the fuck we want
I bought a house in the suburbs
Next to the homie Wade, I made a killin' off them birds
White folks straight mad as fuck
Because I'm rollin' in a Benz and a 30, 000 Dollar truck
Yo, I takes mine, yo, when I shakes mine
On the real, the government labels me a flatline
And Uncle Sam gives a fuck about me
That's why I'm sittin' in this phase on a ratin' LP
Yo, he more wicked then a horror flick
Think you won't, high powered mandate to 5 Dollar bitch
Yo, they say America the land of the free
But the first thing I've seen was slavery, fool...
(Chorus: Cold 187um)
So is you scared of me
439 years of slavery (Slavery)
And we still ain't free
But we s'posed to act like we livin' in harmony ""Bring it on""
(Bring it on, you've got to bring it on)
(Verse 3: Triggerman)
I pledge allegi' to the flag when I'm rollin' down the block
In my ride, but it's... it's your rag ""never""
Yeah, I stick hand tight
I drop a kite to my nigga in the pen doin' ten
I put a nigga in a cage, but I'm never on his back
While Uncle Sam straight stack
I wish they let them die like a pigeon in the wind
But every nigga in the pen' alive
With one point to get every three sixty five
Say you gotta keep up, if you on the main line
You gotta hurt some. while you in the chow-line ""yeah""
So if you wanna survive don't let them eyes sleep
Even when you hustle on the streets...
(Bell rang)
(Verse 4: Km.G)
Yeah, break myself never
However, I'm in this so scrilla
The Clinic gang runnin' thangs up, so I smell trouble
Gatherin' up at the shack, cause Ren's got my back
187's got a sack and I got a sack
So bring it on, we get the whole country high
Above The Law the crooked letter, a year supply
Then they get upset, 'cause we set up shop, in they hoods
And start slangin' them no goods
We should go uptown, and poison the suburbs
Have all them white fellas straight going to the curb
Instead they slide down to our block
(Just to get a bit of that Peruvian rock)
Ain't no gun factories in Gardena
Ain't no poppy fields poppin' out in Pomona ""yeah, ugh""
I bought my steel from a white man, my works from a SA
And my interiors be lookin' hittin' corners, Huh...
(Chorus: Cold 187um w\variations)
So is you scared of me
439 years of slavery (Slavery)
And we still ain't free
But we s'posed to act like we livin' in harmony ""Bring it on""
(Bring it on, you've got to bring it on)
(Outro: Dr. Khalid Muhammad talking)
You with me? (Yeah)
'Cause I gotta drop this stuff tonight
Because I'm a truth terrorist [whistle]
I'm a knowledge gangster
I'm a black history hitman
I'm a lie killer, urban guerilla
I gotta be a roughneck [a great big round of applause]
Gotta be a roughneck
It's the only way I know to go [a great big round of applause]
(Beat fades the track and the Album)"
6,CPT All Day,1998,Ruthless for Life (1998),,MC Ren,"(MC Ren:)
I fuck so good I make dike bitches straight
And give 'em mo love jones then Lorenz' tape
Nigga outta state been to every nigga hood
Gets treated like Farhekahn, the shit is all good
Niggaz be on their knees like their ready to suck a dick beggin
Like niggaz about to beat they ass caught for bootleggin
The Villain be havin' keys to black holes in space
Hoes beggin a nigga to lick my nuts for a taste
Dick be so huge, givin' 'em over bites like Monefa,
Be hard to leave the room when she undress that black moon,
My shit explodin more than Timothy McVeigh,
Fuck with me I'll take yo ass off the L like K day
Compton niggaz fighting more than MGM Grand
Fucking bitches looking like the real Roxanne
Niggaz know they can't fuck with me,
It's CPT all day howz it gone be niggaz?
(T-Girl:)
Niggaz in Compton don't give a mad fuck,
Where the fuck you from nigga
What the fuck up?
CPT nigga that's how it gotta be
Call my niggaz from the from the Hub if you wanna fuck with me.
Niggaz in Compton don't give a mad fuck,
Where the fuck you from nigga
What the fuck up?
CPT nigga that's how it gotta be
Call my niggaz from the from the Hub if you wanna fuck with me.
(MC Ren:)
I don't be givin' a fuck I be making these niggaz/bitches pissy
Comin' at me with that bullshit y'all can miss me, A REAL NIGGA
You know y'all niggaz used to wanna be,
To hard motherfuckers like me and E [Eazy-E],
Full of freaky tails like Short, Gotta killa appettite,
Yo bitch chose me 'cause I could fuck her all night
You niggaz worse than Deangelo bitin Prince
Or heavy D biting Biggy, I'll slap yo ass silly
Real niggaz made Will Smith leave Philly not Jada
These bitch niggaz turnin' into Ren hatas
'Cause I still get paid for writing
That street shit that they play that make mothufukkas start fightin
So come on, hop on my nuts like everybody did Greenbay,
Still won't believe it like the screenplay,
You wack niggaz tryin' to walk around proud
You muthufukkin groupies ain't allowed.
(T-Girl:)
Niggaz in Compton don't give a mad fuck,
Where the fuck you from nigga
What the fuck up?
CPT nigga that's how it gotta be
Call my niggaz from the from the Hub if you wanna fuck with me.
Niggaz in Compton don't give a mad fuck,
Where the fuck you from nigga
What the fuck up?
CPT nigga that's how it gotta be
Call my niggaz from the from the Hub if you wanna fuck with me.
(MC Ren:)
I gives a fuck, you niggaz mad 'cause I made your bitch hot,
I saw you slap her ass in the parking lot
Compton niggaz like me be born macks
Add it to this fuckin' nigga if you wore black
Gang shit change, Compton still the shit niggaz know
In this rap shit Compton Niggaz all pro
That street shit, y'all niggaz know who made the best
Compton niggaz holding down the whole fucking west
Nobody tryin' to see yo ass like that movie Booty Call
Mo suave than MJG and 8ball
Niggaz mo bitchy than that nigga Genuwine
The bitches are free, but stupid niggaz buy the wine
Compton niggaz be takin' pussy, on GP
Or they be down to suck yo dick if you MC
But if you ain't the viialin hold yo dick in yo hand tell 'em give me
The bitches strip tease like Demi.
(T-Girl:)
Niggaz in Compton don't give a mad fuck,
Where the fuck you from nigga
What the fuck up?
CPT nigga that's how it gotta be
Call my niggaz from the from the Hub if you wanna fuck with me.
Niggaz in Compton don't give a mad fuck,
Where the fuck you from nigga
What the fuck up?
CPT nigga that's how it gotta be
Call my niggaz from the from the Hub if you wanna fuck with me.
(MC Ren:)
Bitch niggaz that's how it gotta be
(T-Girl:)
Punk bitches that's how it gotte be
(MC Ren:)
Bitch niggaz that's how it gotta be
Call my niggaz from the Hub if you wanna fuck with me.
(T-Girl:)
Punk bitches that's how it gotta be
(MC Ren:)
Bitch niggaz that's how it gotta be
(T-Girl:)
Punk bitches that's how it gotta be
Call my niggaz from the Hub if you wanna fuck with me."
7,Comin' After You,1998,Ruthless for Life (1998),,MC Ren,"(Feat. Ice Cube)
(MC Ren)
In case you didn't know my flows grows for sure
I'm makin' sure you niggaz don't try me no mo'
Weak shit you talkin' and I'm surprised it's sellin
Ruthless self niggaz full of felon's who the fuck you tellin'
Braggin bout money where that shit be at
After videos all that shit we never see that
Bitches with big asses blunts and big cars
Shot callin niggaz pissy drunk in them tittie bars
Ren assasinatin, all of these
Wack ass rappin' niggaz that say they sellin keys
And fuckin' hoes and smokin' a million blunts a day
Shooting a hundred niggaz and saying he walked away without a scratch
Some Rambo shit side a head
Livin' with yo' mama talkin' 'bout a hundred grand
Nigga please, who the fuck you think you talkin' to
Real niggaz comin' after you, we after you
You fake ass ballers who we talkin' to
(We comin') Lyin' on records bout what you do
(We comin') The shit y'all doin' is played out and through
(We comin') You come with that shit we come after you
(Ice Cube)
It's the Don Daddy with the Villain, who you killin'
Oh we hate em, come verbatim with this cap peelin
Top billin, make a million
Paparazzi, chase us through the tunnel in the Maserati
Now they got me on Hard Copy didn't have to shoot Versace
Yet you still wanna watch me
Motherfuckers wait they whole fuckin' life and aday
Hopin that we can reunite N.W.A.
All purpose, try to serve us, gettin' nervous, mo' murders
Shit can just turn into the service
Standin over the carcass
You look like the kind of nigga that'd press charges
We the largest, we the biggest, we the Niggaz, With the Attitudes
Wee longitude you latitude, have some gratitude
To the niggaz that started this shit
Been around forever BITCH, we smart at this shit
Don Mega... MC Ren... Ren, Ren!
(MC Ren)
I make the Planet Groove nigga mo' than BET
Yo' bitch tied up phoning home like E.T.
So kick in that fifty grand
Before you find body parts nigga in Japan
A motherfuckin lyricist nigga top cop
I'm makin' hits with yo bitch ass talkin' bout
That same old shoot 'em out I'm smokin' fifty blunts
That's why yo' shit ain't comin' out for like fifty months
Ain't nobody tryin' to hear your nigga outdated
Your wack ass quit tellin' niggaz that you made it
I'm never faded like a ghost Villain disappear
Buy some shit to resurrect my dick the next year
Ninety eight ninety nine to the earthquake
How much garbage these mothefuckers go and make
You better shake, fuck that here I come strong
Best believe Ren will rock the shit all night long
(Best believe) We out"
8,Do You Believe,1993,Shock of the Hour (1993),,MC Ren,"""And you have believed those ideas and concepts""
""And you have believed those ideas and concepts""
...
How de fuck can you believe, that people turns to spirits?
Don't run with that bullshit because I don't wanna hear it
The shit that you learned in the church - it only was worth
A bottle of piss, now lemme tell you what you missed:
Jesus was'nt white like the lion devil told you
He's the same devil that brought you from Africa and sold you!
Made you take the white men's name and now you're one with the same
Playin' all of his devilish games
Ho' runnin' 'round in 93' with your slavemaster name
Like a Fool happy as you can be
Believe it in a burnin' hot hell
But the only hell you got was in the white men's jail cell
The devil owns every fuckin' thing
I doubt you can't make it unless you can tap or fall or sing
Now niggaz will be trippin' 'bout the shit I'm 'bout to speak
How can you go from the streets turnin' to chicks and eatin' pig feet
Lookin' for dope face turnin' to a hog
Mothafuckaz happy you ain't died from the smog
Niggaz got these white devil bitches for the ho's
Don't bring 'em in the room 'cause the bitches are doomed
...
""And you have believed those ideas and concepts""
""And you have believed those ideas and concepts""
If you see a nigga with a white ho' beat his mothafuckin' ass
Remind a mothafucka of what happened in the past
Let me tell you somethin' that I think you oughta know
He's the same devil that came from ... 30 years ago
Then you got niggaz that's blacker than the night
Runnin' 'round town sayin' their best friends are white
Niggaz like that are gonna hang up from a tree
And burn 'em up aloud and let everybody see
'Cause in 93' we'll come and burn down your store
When niggaz sign up ... 54'
If you hate the devil you should fall right then
'Cause all we're lookin' for is a few good men
So niggaz here we go here we go it's a trip
The devil separates you by a blood and a crip
'Cause he knows if you're together yo we'll beat off in his ass
Go to white neighborhood and start to blast
Nigga you believed ...
""And you have believed those ideas and concepts""
""And you have believed those ideas and concepts""
""And you have believed those ideas and concepts""
""And you have believed those ideas and concepts""
""And you have believed those ideas and concepts""
(Fade out, cya)"
9,Final Frontier,1992,Kizz My Black Azz (1992),,MC Ren,"Hey, hey Ren, hey check this out loc
Hey man I've been hearing a gang of niggas
Talking a whole lot of unnecessary bullshit man,
What if one of 'em trick ass niggas
Come at you the wrong way loc'?
(MC Ren)
I'll beat a niggaz ass on the trick just for the hell of it
There the motherfuckin piece of pussy there's no tell of it
I don't give a damn I'll beat a nigga like he's stole somethin'
And then I'll let the motherfucker know where Ren is comin' from
I'm from Compton everybody's on the wagon
I'm looking for niggaz that's thinkin'
That they're the shit, that's who I'm taggin'
Never asking questions I just go right in and do it
And if you're thinkin' that you can fuck with Ren
You bitch already blew it
Like I said before, fools want up in my shoes
But after fuckin' with me
They're givin' up rap, and they're singin' the blues
Me and DJ Train dropping bombs like a P2
So you should get the picture or if not, you get a preview
That we don't take no shit
Cause MC Ren ain't a nigga that you wanna try and fuck with
Kick a little ass in my spare time
To keep myself occupied when I'm not bustin' up a rhyme
Writin that shit that ya love to hear
Cause MC Ren is the final frontier
(Black guy) Who is it?
(White guy) The black nigga that they call Ren
(Black guy) Who is it?
(White guy) The black nigga that they call Ren
(Black guy) Who is it?
(White guy) The black nigga that they call Ren
(MC Ren) Ya fuck with me ya gotta fuck with a Mack 10
(MC Ren)
Now throw your hands in the air and let me see ya slap a hoe
Start the violence goin' on through an MC Ren show
I don't give a fuck if niggaz is fightin in the crowd
I only got one concern, that's my vocals pumpin loud
I'm standing on the stage I got my niggaz to my right
I bust a couple of verses
Then jump in the crowd and get with the fight
I hit a nigga off in the head with a chair
The reason for that, the motherfucker he was standin there
Then DJ Train will grab the gauge - just in case a motherfucker
Talks shit; he'll be the victim on the front page
He's on his way to the morgue - to kick it with the rest
Of them motherfuckers that I gave free room and board
So when ya at my show
Let me see ya throw your hands up in the air and slap a hoe
Cause that's the only noise I wanna hear
Cause MC Ren is the final frontier
(MC Ren)
The final frontier makes an average nigga wonder
Why they do a couple of records and then they go up under
Try to copy Ren but Ren just can't be duplicated
Motherfuckers makin' pussy shit so I come in and fade it
Slap the niggaz like bitches if they have to talk back
Put my foot so deep in their ass they have a hole and not a crack
The shit just makes a nigga laugh, cause niggaz be comin' up to me
Askin me why did I leave size 10 Nike in that ass
I tell 'em I had to do it was part of the plan
To try to stop the fools jacking off by the hand
Putting wack records in the make
By usin' R&B fuckin' singers in the god damn breaks
Try to go commercial but they started out street
That's reason why they're still drivin' their two feet
Thinkin' they can diss Ren's flow, but singin' and dancin
Don't go with the format that I be usin' in my show
It's just hardcore niggaz actin' crazy on the stage
Wearing gangsta clothes yo and spittin' on the hoes
Doin' that shit that ya love to hear
Cause MC Ren is the final frontier"
