,song,year,album,genre,artist,lyric
0,1'2 Many...,1997,One Day It'll All Make Sense (1997),Hip Hop,Common,"One wa-wa One, One Two, One Two
One wa-wa One, One Two, One Two
One tigga One, One Two, One Two
(Dug Infinite)
Dug Inf on production, my man Com for the discussion
Check it
(Common)
One day, I was tryin' to be myself
The same day this thug say, ""You gotta come hard""
Nigga, times is hard, I'm tryin' hard to make it
It ain't hard to tell, it's hard for me to fake it
Plus, it's hard to be me, it's hard to stop drinkin'
I guess it's hard for you hard niggaz to start thinkin'
Pussy MC's stinkin so I can't get hard
Some, become MC's 'cause it's hard to get a job
Hard for you to trust people, you don't trust in God
Even harder to be the Gods we created to be
This Western way of life ain't native to me
Put one nigga in your Pulp Fiction that related to me
I hate it that we, the only race that call our women hoes
Niggaz, be too hard to say ""ho"" at the shows
I rose... like a florist to bring the flavor like a Taurus
Might not have the murderous verse, but I stay hard to the chorus
Took this girl to work, she say I ain't have a real job
Like that dick you had last night, baby, I work real hard
Simple motherfuckers tellin' me hard is criminal
Niggaz you thought was hard, you pourin out your liquor for
Years ago, I thought I was hard, in high school fightin
Now, I'm the hardest man working in show business
Handle your business or shut the fuck up
(Dug Infinite) It's just one two many niggaz got cars and no land
(Common) One two many niggaz with cash and no plan
(Dug Infinite) One two many niggaz that's tryin' to MC
(Common) That's one two many niggaz comin' up to me
(Both) That's one two many niggaz
Just one two many niggaz (2X)
(Both) That's one two many niggaz
Just one two many niggaz
(Chuck D) ""One, two""
Forever, I ain't gon' be rappin'
Shit'll happen to me, I gotta let niggaz know
This mark asked me do I know his cousin Jimbo
Nigga, I don't even know myself
You want me to get you in
Jack, I'm trying to get through the do' myself
Opportunity knocked, but he ain't call 'fore he came
Yeah, I got a name, but only twenty dollars to it
Next album you gon' blow, up my ass, you done blew it before
Being in my video, what's that gonna do for your life?
Get you some pussy? You should be gettin' rump off GP
Quit that you look like you say I seen you on TV
I be readin niggaz but readin be makin' me sleepy (Hey!)
So strong am I, A Hundred Styles and Runnin'
Niggaz stuck on one and them-a ran by
Claimin they fly but they stand-by
I come truer than a dream, and youse a damn lie
With that anti-rap, complainin about this and about that
Sounding bitch like, that ain't gonna make a nigga get right
I'm number one
(Dug Infinite) One two many niggaz tryin' to tell me bout they theory
(Common) One two many niggaz that ain't tryin' to hear me
(Dug Infinite) One two many niggaz doin' shows that don't happen
(Common) One two many niggaz life depend on rappin'
(Both) That's one two many niggaz
Just one two many niggaz (2X)
(Both) That's one two many niggaz
Just one two many niggaz
(Chuck D) ""One, two""
(Dug Infinite) One two many niggaz can't find they niche
(Common) One two many niggaz wanna be my bitch *echoed*
Nigga, one two many niggaz (repeat to fade)"
1,7 Deadly Sins,2014,Nobody's Smiling (2014),Hip Hop,Common,"Gluttony, baby
To me, it's what I see
Gluttony, baby
Is us, it's hard to see
It's knocking
Gluttony, baby
To me, it's what I see
Man, they gon', they gon'
Man they gon' knock this
And ride out to this
It sit deep in my chest, so let me express
Grew up on 868, oh, y'all don't need the address
It was 'round CVS, we were so devious
The city never sleeps, it be needing some rest
The streets was a mess, and they still are
Feel our pain, the bigger picture, we was all framed
But the game is the game, so let it begin
In these streets, these are the seven deadly sins
Now, the first is pride, though some call it vanity
A hustler's insanity can break up the family
Pride can have a man stuck in his ways, not subject to change
Knowing that he'll end up in a grave
It's the arrogance, they say, in us Americans
Messes up marriages, many sins, pride is parenting
Like the second is something we all have
Or felt, than Cain or Khan, it's called wrath
I seen a boss take it out on his staff
Seen a crip take it out on a blood, causing a bath
Never seen a man making money while he mad
So hustle plus wrath? Y'all do the math
Now the third, you probably heard from MOP
They say use them rocks to make 'em envy
Envy, the cousin of jealousy, on the streets it's a felony
When niggas fucking with you [?] commit infidelity
They hate it, to see you celebrated
Counting my paper, nigga, you could have made it
Let me stay with that thought, takes us to the fourth
Where niggas is lazy, that's what we call sloth
Want you to break 'em off, getting money it costs
For you to be a boss, ain't no taking off
Now the myth about the fifth: it only happens when we eat
It's gluttony, this is how it happens on the street
It's a dude that's getting paid in full, cars and jewels
So his plate is full, but the way this nigga move
He is never full and he gon' want your food
Don't overdo it, that's an underrated rule
The sixth is a fix that's in all of us
When I get drunk and want to bust, this is what we call lust
When the drawers go down, the guards go down
Cause a pussy is somebody getting robbed right now
Okay, the seventh is a seed that many believe
Is the cause of 'em all, this is what we call greed
Knew some cousins that was hustlin', one of 'em ended up bustin' the other
Greed is a mother, it's greedy motherfuckers like Madoff
Cops getting paid off, greedy companies got my people getting laid off
Before I sign off, in the sins we livin'
The good thing is we can be forgiven
Seven deadly sins"
2,A Bigger Picture Called Free,2016,Black America Again (2016),Hip Hop,Common,"Living in a glass bubble, the fast hustle
The masked struggle that I'm in
The same one that you in
I knew inside when I was outside on the south side
Had to take it a step further
The way that Ralph tried
Oh that's my stepfather
He stressed harder to make that bed and lock them doors
For the perfect picture, I forgot to pose
Used to rock Jabos and go out with bros
Tryna get lots of hoes till I got exposed
To a bigger picture called free
In the picture, it was me
Al-Hajj Malik Shabazz, Muhammad, and Noble Drew Ali
A side of Erykah Badu and Andre 3000
Telling me what I can't be
But you can't paint me
Black is the color of my true love spirit
And I do love lyrics
And I used to love Harold's Chicken
And I dance pretty good
And I feel at home in the hood
And I get lit in the club
Still I love
If you look in my eyes, you'll see love deep inside
When I look in the sky, I see freedom
If you look in my eyes, you'll see love deep inside
When I look in the sky, I see freedom
If you hear this rhyme, it's coming from division 9
The toughest in Cook County
They count me out 'cause I did a crime
They say it's violent time in human beings
But being they ain't seeing me as human
In this big business called prison, I'm the one that's consuming
Illuminati illuminate me, fume and hate me
Mutilate me from my family, society, and loved ones
I wasn't raised to love guns, well maybe toy ones
My pops, y'all built and destroyed him
With prescriptions of poverty, dope, and unemployment
When will we see enjoyment?
I smile when my little boy get to visit for about 30 minutes
But we ain't never spent Christmas together
Tryna get it together
What I'ma do when I get out?
I don't know what it is to live out
Just reminiscing of the big house
I'm the one justice chose to spit out
My life story is written in a prison sentence
Wonder if this cell got room for forgiveness?
Still I love
If you look in my eyes, you'll see love deep inside
When I look in the sky, I see freedom
If you look in my eyes, you'll see love deep inside
When I look in the sky, I see freedom
It's gonna be you and me
When you're feeling free
Make you feel alive
What you got inside make you go outside
The change in I
Is the realest high
It's the realest high
Yeah-yeah-yeah-yeah-yeah-yeah-yeah, oh-yeah
It's gonna be you and me
When you're feeling free
Make you feel alive
What you got inside make you go outside
The change in I
Is the realest high
It's the realest high
Yeah-yeah-yeah-yeah-yeah-yeah-yeah, oh-yeah
It's gonna be you and me
When you're feeling free
Make you feel alive
What you got inside make you go outside
The change in I
Is the realest high
It's the realest high
Yeah-yeah-yeah-yeah-yeah-yeah-yeah, oh-yeah
It's gonna be you and me
When you're feeling free
Make you feel alive
What you got inside make you go outside
The change in I
Is the realest high
It's the realest high
Yeah-yeah-yeah-yeah-yeah-yeah-yeah, oh-yeah"
3,A Film Called (Pimp),2000,Like Water for Chocolate (2000),Hip Hop,Common,":
Yeah, yeah, yeah
You know, they call me a pimp, and you know what that mean
I'm a person that's making profit. see I pimp internationally
I'm nationally recognized, locally accepted
I pimp with the truth, that's the only method
:
Seen her on madison where vice lords be travelin
And chevy windows be rattlin
And badder than any other broads that I've seen in these parts
Her body language spoke like a smart remark, eyebrows arched
Thick lips, blond wig, nice tits, ass the size that I dig
Asked her the name, one way to approach her
See she had game, she needed me to coach her
Expose her to some paper, freedom and culture
The way a righteous pimp is supposed to
:
As he came closer in his eyes I seen fortune
I ain't having it like abortion
Walking with this stick holding his tip
Looked like a black panther that was trying to pimp
It was cold as shit, I'm waitin on my ride
Act like I didn't see him I tried
:
Motion denied (pause)
I felt the vibe like roy ayers
She was used to seeing pimps in furs and gators
Told her I'm an innovator, a gentlemen of leisure
That's in tuned with nature, hold common's hand
I'm a take you to a pimps promise land
Where no man can break ya, break ya, break ya
:
Pimps, hoes, hustlers, plans, dealers
Customers, and bodies stuck in it, oh my god
Pimps, hoes, hustlers, plans, dealers
Customers, and bodies stuck in it, oh my god
:
(Hey girl, come on over here, check it out)
Make your next move your best move, choose me
:
How I look working for a nigga in a cuffe'
If I was on a track you couldn't produce me
With them shits on your wrist looking goofy
:
(Yeah ok)
I pimp without a pause, for the cause, I'm a rebel
You been on the streets I'm trying to take you to another level
You used to the same game, cats saying the same thang
Nigga you gone ho underground or ho mainstream
:
Nigga you must not know of me
I'm the mack here
Ought to have you ho for me (get real now)
Pimp yo punk ass
Have you write me poetry
I'm from a land called cash
You too slow for me
:
You know why?
I'm thinking bigger than bagets
Birds in slick cars
Or have you on the corner trickin in strip bars
If you become mine the world would be ours
Respect the game, and universal laws
:
What, I oughta pimp slap your ass and make you fall against the wall
(Try it)
Why you in the game if you ain't even trying to ball
I know pimpin' ain't easy but damn you barely surviving
We can't ride together cause you ain't driving
(Oh it's like that)
:
Pimps, hoes, hustlers, plans, dealers
Customers, and bodies stuck in it, oh my god
Pimps, hoes, hustlers, plans, dealers
Customers, and bodies stuck in it, oh my god
:
(This, this, this really how I look at it check it)
You and I together is like ashford and simpson
Picture us elbow to elbow at the hustler's convention
:
Think I'm gone risk my ass then give you the cash (yep)
That shit is the past
I got my own stable (where at)
I oughta pierce your navel and put you on the track
Matter of fact I been looking for a hoe that's abstract
:
Girl you getting beside yourself
I'm trying to guide you
Help you see inside yourself
I pimp with vision, I'm a help you see the light
Have you covering your body and have you eating right
:
(Is that right)
I'm pimp hoes, pimp pens, (say what)
Pimp rhythms, pimp flows
Pimp men (and pimp what)
Pimp systems
Got stores called big pimpin' (where)
Down south
In Texas I ran the best hoe house
:
(So)
I pimp from Brazil to um, Tokyo
Have Japanese broads sayin' 'choushi wa dou' (yeah right)
Bring 'em back to the states to turn dates from Europe
Made the dirtiest of hoes seem purer
:
(Ha ha ha ha ha ha ha ha)
(Why you laughin'?)
I'm laughin' 'cause you funny
I'm make bitch niggas like you have my money
I get six hundred off yo' skinny ass weekly
You'll get all the right tolls in that dashiki
:
Yo, what ever happened to loyalty?
Don't you want to become royalty
On the streets selling ass and oils for me?
But you on this hoe's ass and really I can't reach you
Fuck you then I'm about to be a preacher
Well there you have it y'all
The story of pimps and hoes y'all know how it goes
It's been the oldest profession
The whole thing is like a lesson
Ain't no second guessin'
Pimps y'all, hustlers
All that good shit
Yeah, yeah 2000 and forever
It'll be here
Uh, uh aight cool"
4,A Moment in the Sun Interlude,2016,Black America Again (2016),Hip Hop,Common,"He was a big guy from Tyler, Texas and
I think I was walking to class one day
And we passed each other
And he was country country so he was like
""Hey lil' mama"" and I giggled
And I was like ""Hey"""
5,A Penny for My Thoughts,1992,Can I Borrow a Dollar? (1992),Hip Hop,Common,"""Friends... Romans countrymen... lend me a dollar! Ah-ha!"" -> Damon Wayans
""How much? -- A dollar.""
""One dollar.."" -> Dan Akroyd
""I got your money... I got your poor, measly.."" -> Eddie Murphy
""One dollar.."" -> Dan Akroyd
""Can I borrow a dollar?"" -> BizMarkie
""Nigga you ain't shit... you wasn't shit when you was here!
I seen you do that shit all that's the same shit
You was doin' round the poolroom nigga
It ain't nothin' -- let me have a dollar""
""Can I have a dolla? One dolla""
""One dollar.."" -> Dan Akroyd
""How much? -- A dollar.""
""One dollar.."" -> Dan Akroyd
""One beer? Man you gotta give me a dollar for a beer""
(Twilite Tone)
Check this out
One time, steps a man
Common Sense and the Unamerican Caravan
The true b-boys, dem dere and we in here
Yeah, ya know, from the Southside of Chicago
And we don't front
Who me? I am Twilite Tone
Babylon dread, Bumstead, and we come like DIS
(Common)
This the start of somethin' big
Methink I knows ya gonna dig it
It's time to plant the seed
Hip-Hop's the tree and I'ma fig it
Figure it out, the mic, I'm rippin it like a ligament
Gimme a light a Bud Light, and shit'll get lit just like a cigarette
I'm a b-boy so don't test me, many rappers don't impress me
You try steppin into my city I'll, Snipe 'em like Wesley
So you best be on your way, I'm doper than Marion Berry, hey
Wake up everyday and make-up rhymes but I'm not Mary Kay
Some say I'm dope as fuck, some label my rhymes incest
My flex is kinda mean yo, so hey kid, CATCH
These nuggets, these nuggets, these nugget ugget uggets
With some peas and a hole in the bucket (cool, cool)
Dear Liza, Minelli, I jam like jelly and I got
Helly what, helly what, HELLY RHYMES
I can remember times when for a 40 I had to beg for bucks
Nobody really gave a, so I had to beg for fucks
Now what do niggaz do when they got not food
Skibbidy skap and busta bust a rap
So I pick up the pen and then begin the thoughts to get to pumpin
Hopin like all the people let me talk, let me say somethin'
Cause nothin' for nothin' leaves nothin', I got nothin' to lose
I put, nuttin in my notes, I'm not your host when I got nuttin to use
Dues gettin' credited, now I debit my bank account
Not on a blind date, could I see me taken out
By some glutteus, glutteus, maximus, maximus
I'm spas-ta-gis-a-mister-gis a mister-gis-ta-spas-ta-gis
Spectacular, the papes I Count like Dracula
You can't cut the rug, because you suck, MC Vacumn Up
Rappers I skip on like Walter Payton
Their ain't no way or half-step, and flex a rhyme like a bicep
Some steps with concepts, but umm, WHO cares
Not even the damn People Under the Stairs
(Twilite Tone)
Interruption, interruption
True b-boys runnin' shit
Unamerican Caravan, beatin' you down
Den dere's de man who don't stop
Yo Com, come back with some Sense, UHH
(Common)
Doo-doo-doo-doo-doo-doo, here I come, here I come (what?)
A-doo-doo-doo-doo-doo-doo, here I come, here I come (yeah!)
I'm comin' around the mountain high as lower than a valley
I'm the cat, from the alley, from the back, I'ma rally
And tally up points, rollin' joints, risin' to the tops
Somewhat of a playwright, cause like a stage I got props
My crew's a strange brew, a drink a day'll keep the stink away
We been through AA, but hey, what can I say?
Say say say, what you want, but you'll pay the con-se-quences
Cause Mister Common Sense is (yeah)
Not gonna take it, so leave you better believe it
Even if your name ain't Ripley, cause Ripley don't know diddley
Hit me one time, two times, for the U-AYYY-C
Hey, but anyway
I hit a skid, and I peel out like MC Eiht, damn I kill it
Earn my money the old fashioned way - I steal it
Stop thief in the temple, I hit 'em with a blow
Somebody done stole my beeper but I'ma steal the show
I'm throwin' a Heidi Hoe into a bro and tellin' her
Go for what you know bruh, the people before me go under
Yo we gotta gotta get we gotta get we gotta get
Gotta get, gotta gotta gotta get get over
Somewhere over the rainbow, I'm still the same old same old
Ringin' around the collar, borrowin a dollar, check my balls
Dirty drawers, see the kitty suckin titties
Video watchin lush from the city
I'm the extra-terrestrial rappers go home 'cause they have to
Them marks be callin Ork, come in Ork, Nanu Nanu
The perfect stranger, comin' in to a, fuck a new land
Cause Jeffrey where Osborne, and see I'm only human
Doin' anything to make a buck, what the fuck I gotta
Do what I gotta go (*echoes*)"
6,A Song for Assata,2000,Like Water for Chocolate (2000),Hip Hop,Common,"In the Spirit of God
In the Spirit of the Ancestors
In the Spirit of the Black Panthers
In the Spirit of Assata Shakur
We make this movement towards freedom
For all those who have been oppressed
And all those in the struggle
Yeah. yo, check it
There were lights and sirens, gunshots firin'
Cover your eyes as I describe a scene so violent
Seemed like a bad dream, she laid in a blood puddle
Blood bubbled in her chest, cold air brushed against open flesh
No room to rest, pain consumed each breath
Shot twice with her hands up
Police questioned but shot before she answered
One Panther lost his life, the other ran for his
Scandalous the police were as they kicked and beat her
Comprehension she was beyond, tryna hold on
To life. She thought she'd live with no arm
That's what it felt like, got to the hospital, eyes held tight
They moved her room to room-she could tell by the light
Handcuffed tight to the bed, through her skin it bit
Put guns to her head, every word she got hit
""Who shot the trooper?"" they asked her
Put mace in her eyes, threatened to blast her
Her mind raced till things got still
Opened her eyes, realized she's next to her best friend who got killed
She got chills, they told her: that's where she would be next
Hurt mixed wit anger, survival was a reflex
They lied and denied visits from her lawyer
But she was buildin' as they tried to destroy her
If it wasn't for this German nurse they woulda served her worse
I read this sister's story, knew that it deserved a verse
I wonder what would happen if that woulda been me?
All this shit so we could be free, so dig it, y'all
I'm thinkin' of Assata, yes
Listen to my Love, Assata, yes
Your power and pride is beautiful
May God bless your soul
It seemed like the middle of the night when Law awakened her
Walkie-talkies cracklin, not sayin' where they takin' her
Though she kinda knew
What made the ride peaceful was the trees and the sky was blue
Arrived to Middlesex Prison about six inna morning
Uneasy as they pushed her to the second floor in a cell
One cot, no window, facing hell
Put in the basement of a prison wit all males
And the smell of misery, seatless toilets and centipedes
She'd exercise, paint, and begin to read
Two years inna hole. Her soul grew weak
Away from people so long she forgot how to speak
She discovered freedom is a unspoken sound
And a wall is a wall and can be broken down
Found peace in the Panthers she went on trial with
One of the brothers she had a child with
The foulness they wouldn't feed her, hopin' she's lose her seed
Held tight, knowing the fight would live through this seed
In need of a doctor, from her stomach she'd bleed
Out of this situation a girl was conceived
Separated from her, left to mother the Revolution
And lactated to attack hate
'Cause federal and state was built for a Black fate
Her emptiness was filled with beatings and court dates
They fabricated cases, hoping one would stick
And said she robbed places that didn't exist
In the midst of threats on her life and being caged with Aryan whites
Through dark halls of hate she carried the light
I wonder what would happen if that woulda been me?
All of this shit so we could be free
Yeah, I often wonder what would happen if that woulda been me?
All of this just so we could be free, so dig it, people
I'm thinkin' of Assata, yeah
Listen to my love, Assata, yeah
Your power and pride, so beautiful
May God bless your soul, ooh
Yo
From North Carolina her grandmother would bring
News that she had had a dream
Her dreams always meant what they needed them to mean
What made them real was the action in between
She dreamt that Assata was free in they old house in Queens
The fact that they always came true was the thing
Assata had been convicted of a murder she couldnta done
Medical evidence shown she couldnt'na shot the gun
It's time for her to see the sun from the other side
Time for her daughter to be by her mother's side
Time for this beautiful woman to become soft again
Time for her to breathe, and not be told how or when
She untangled the chains and escaped the pain
How she broke out of prison I could never explain
And even to this day they try to get to her
But she's free with political asylum in Cuba
I'm thinkin' of Assata, yeah
Listen to my love, Assata, yeah
We're molded from the same mud, Assata
We share the same blood, Assata, yeah
Your power and pride, so beautiful
May God bless your soul
Your power and pride, so beautiful
May God bless your soul, ooh"
7,All Night Long,1997,One Day It'll All Make Sense (1997),Hip Hop,Common,"(Feat. Erykah Badu)
(Common (with Badu singing in background))
Yeah... wanna feel the vi-ah-hi-hibe
Wanna feel the vibe, wanna feel the vi-ibe!
Uh... wanna, what? Yeah
Wanna, what? Uh, yeah (come on)
Every-bod', c'mon, uh
Yo, yo... (all night long)
(Common)
Durin divine hours, I use mind power to refine
Flour/flower girls, and make 'em feel like black pearls
Get they minds off acryllic nails and the rap world
It's a lot you can find in the lost black girl
Made signs built in lodges, we be in garages
Discussin who we boned and who God is
Pro-black like Craig Hodges with my dashikis in the cleaners
I kick it for the Chevy ridin' head to backstreet leaners
(Erykah Badu (with Common))
Allllll... (uh) niiiiiight... (yeah yeah, what?) [HAH]
Allllll... [HUH, UHH] niiiiiight... (whatcha say now Bee, what?)
Allllll... (yeah, yeah yeah) niiiiiight... [AOW! Aoww-owwww]
(To freak it with the) Allllll... (now let me get a piece of this)
(Let me get a piece Bee) niiiiiight...
(Common)
Check it, check it
I was born underwater with three dollars and a cocktail
Tryin' to make the Garden of Eden, out of Auckdale and Rockwell
Lock'd in this Grid like a Tupac tale
While her-on rock smells make the cops tail
My third eye is my rail, on this L of thought
With afrocentric stamps I'm mailin thoughts
To my Gods held in court
I dwell where rebellion's taught, and emotions seldom walk
I try to Walk Like an Egyptian, but Hieroglyphics fail to talk
I guess the hustlin is the unspoken Gospel
Love that I'm an apostle, feel the holy spirit of Chicago
E Bottom, here's the bottle
I think I, need a cup of a tea, because I'm novel
(Come on bay-bay) Bust it
(Erykah Badu)
Iah jus' wanna rock you
Alllllll night looooong
Allllllll (come on bay-bay)
All night long... all night long...
All night long... on and on and on and onnnn (come on bay-bay)
Iah jus' wanna rock you (all night long)
Alllllll night looooong (all night long)
Allllllll (on and on and on and onnnn) [HAH, UH-HUH]
Iah (all night long) jus' wanna rock you (all night long)
Alllllll night looooong (all night long)
{What? yo-yo, yo-yo yo-yo check it, check it}
On and on and on and onnnn
(Common)
A portrait of the Artist, formerly known as Sense
The brain-wash, with my vocal tones I rinses
Opportunity and the beat knocks
Women, give me rhythm like beatbox, but it's the year
Of completion, I want a Queen to complete Rash'
Who's flavored from stacks, to Reeboks
Send blessings to the family of Ice Mike
Shit like that, don't help me write right, but I got site/sight
Like a destruction worker, when it's time to build
Get off like Sam Jack' and it's +Time to Kill+
In perseverance I'ma find a meal, and provoke
My Gramps used to trick off big papers at the Riverboat
It go...
(Erykah Badu (with Common))
Allllll... niiiiiight... all night
Allllll... niiiiiight... you got it goin' all night
Allllll... niiiiiight... y'know, y'know it all night
Allllll... niiiiiight... oahahhhoahhoh (yeah, yeah)
(Erykah Badu)
Iah jus' wanna rock you (one more time)
Alllllll night looooong, oahhhhoh (ebb in feelings)
Iah jus' wanna rock you (I ain't sleeping)
Alllllll night looooong (all night long)
On and on and on and onnnn
(Common)
Check it
I walk downtown to tempos and never lose the beat
Some people got ignorance confused with bein street
On the, street of desire my body and soul meet
Arguin over thick broads and meals with no meat
Had the cold feet for a second
Mega-niggaz in my box throwin' suggestions
Had me checkin' myself and double checkin', I popped the +Resurrection+
In the mirror I only heard my reflection
Let me hold mics, while you hold dicks and CD collections
And at MusicLand and Coop's, we can make connections
I meditate with confidence, to not chomp on cents
Outspoken like 30's but yet I guard my lips
Writin niggaz with stripes, I hold posture with
Poppin' shit to fat broads, wearin os-trich
Givin' 'em voicemail, tracks are like County
To them I voice-jail/gel, if you believe in Heaven
Why is the choice Hell? Why is this choice Hell?
Why is this choice Hell?
(Erykah Badu)
Iah jus' wanna rock you
Alllllll night looooong, oahhhhoh (keep goin')
Iah jus' wanna rock you (keep goin', keep goin', keep on)
(And don't you give up) Alllllll night looooong (ah keep on, ah keep on)
Ooahhhoah (ah keep on, ah keep... ah don't you give up)
Iah (all night long) jus' wanna rock you (all night long)
Alllllll night looooong (if you want it you can have it lay upon my rest)
On and on and on and onnnnnnnnnn (keep it goin' baby)
(If you want it you can have it lay upon my rest)
Iah jus' wanna rock you (all night long)
Alllllll night looooong (if you want it you can have it lay upon my rest)
(All night long) On and on and on and onnnnnnnn
Alllllll (if you want it you can have it lay upon my rest) niiiiiiiight
Alllllll (and if you want it you can have it lay upon my rest) niiiiiiight
Alllllll niiiiiiiiight
Alllllll niiiiiiiiight
Alllllll niiiiiiiiight
Alllllll (don't stop now) niiiiiiiiight (no no no, no, uh-uh)
Alllllll (you bet' not stop) niiiiiiiiight
Alllllll niiiiiiiiight
Yeah... Common Sense, and Baduuuu"
8,Announcement,2008,Universal Mind Control (2008),Hip Hop,Common,"(Feat. Pharrell)
I'm fin' to take you to the tip top baby
I'm fin' to take you to the tip top baby
I'm fin' to take you to the tip top baby
Everybody I'd like to announce
Throw you hands up when we in the house
Yeah, this is hip hop baby
I'm fin' to take you to the tip top baby
And tell your girl that the tickets is out
And we gon' do it till they kickin' us out
'Cause this is hip hop baby
I'm fin' to take you to the tip top baby
Live from the South Side this one
Hide your gun, representing Chi-Town to the fullest
Raps or bullets, see them rappers, they be duckin'
When Com be buckin' in the kitchen, fuckin'
On the sink, got my mama a mink
Think Common is the link, thought the game was extinct
Lay there, them jeans is as slim as Shady
Brought 'em back from the 80's, now let's make some babies
Freestyle paid off so Lincoln paid me
No we can push more whips than slavery
Alex Haley and this rap shit, my roots is deep
You heard the bitch is you, yeah I know what's beef
Let it cook and I pop like grease
You thirsty niggas can't stop my feast, uh
I still love her, she be needin' the dick
When it come to hip hop it's just me and my bitch, uh
Everybody I'd like to announce
Throw you hands up when we in the house
Yeah, this is hip hop baby
I'm fin' to take you to the tip top baby
And tell your girl that the tickets is out
And we gon' do it till they kickin' us out
'Cause this is hip hop baby
I'm fin' to take you to the tip top baby
Baby, you're like, what the fuck? There is no other
Valet crushed my Rolls so quickly I bought another
Sorry Mr. William moved out the building
Spot to the top, fifty feet with was the ceiling
Slow down son, you're killin' 'em, well funded it was not
Came to shitty deals, reminiscing give me chills
When Puff was with Biggie, Versace on every niggie
The backpacker copped the Porsche and drove to his city
Now all the little bitties from ugly to pretty
I was the magician mesmerize 'em, made 'em listen
My dick is like a Blow Pop baby
And it gets stiffer than some Botox baby
But show out baby and show me you ain't gon' act right
And I'll be pedaling backwards like a track bike
She ain't know the Casio cost a hundred
It's been two years since I done it, now all the rappers want it, what?
Everybody I'd like to announce
Throw you hands up when we in the house
Yeah, this is hip hop baby
I'm fin' to take you to the tip top baby
And tell your girl that the tickets is out
And we gon' do it till they kickin' us out
'Cause this is hip hop baby
I'm fin' to take you to the tip top baby
As I sit back, relax with Chicago on my back
Unzip the backpack, pull out a fifth of Jack
I'll probably go to jail for, naw that ain't me
I style crazy and act like Jay-Z
The black Kojak, I get money and want mo' stacks
The rap photographer, the way the flow stop
Broads say, ""Are you a philosopher?""
""Yeah yeah, I philosophize on top of ya"" Uh!
Everybody I'd like to announce
Throw you hands up when we in the house
Yeah, this is hip hop baby
I'm fin' to take you to the tip top baby
And tell your girl that the tickets is out
And we gon' do it till they kickin' us out
'Cause this is hip hop baby
I'm fin' to take you to the tip top baby"
9,Another Wasted Nite With...,1994,Resurrection (1994),Hip Hop,Common,"Say, brother
If you ever let me leave out a club with a big fat-ass, stove-like bitch like that without pointin' out the facts, I'mma kick your motherfuckin' ass
Man, that nerve of the ho not to give me no pussy
Come up in my house trying to watch movies and shit, this ain't no motherfuckin' cinema, bitch
Who the fuck she thought I
Say, brother, I wasted a evening, I shoulda went with you
But, oh, well, you know I gets my pussy anyway
You know that's how players do
But God-damnit, Rashid, that big-ass bitch, haha
If you'd have said to spread on that ho, man, I could kick my own ass
Well, should go to work, just another wasted night
And oh, oh
Hey, hey, what can you say?"
