,song,year,album,genre,artist,lyric
0,2012,2010,The Perfect Storm (2010),Midwest Rap,Twista,"If tomorrow the world ends
And in the morning the sun don't seem to shine
I will stay here forever
Standing right by your side
You know they say (they say) that it's all gonna end some day
So, right before it does (right before it does)
Let's make love (let's make love)
Like tomorrow was 2012
The last day on Earth, 2012
The end of the world, 2012
You'll be my man and I'll be your girl
2012 x 7
Now they be telling me that these are the last days
Are we really that close to Armageddon
If living on the planet till this point has been hell
I survived 'cause I am legend
What if it's all about to be over
Then I'm gonna say you need to be my girlfriend
Hit the blunt after the world in the dim
Then you can get it in like the world fixin to end
It's predicted by the ancient Mayan civilization
I don't want to see the world go soon
But with such a beautiful girl in the room
I want to be up in you when the world go boom
Get down with your body till it's lights out
Making love till the terminator come
Global warming is having a major effect
Comfort each other but we don't know which way to run
Mother Earth is about to go to another cycle
And I know that is about to end someday (someday)
Right before it does (right before it does)
Let's make love (let's make love)
Like tomorrow was 2012
The end of the world, 2012
The last day on Earth, 2012
You'll be my man and I'll be your girl
2012 x 7
Tomorrow it's all about to be over
So I only live to serve ya
The dark is about to devour the Earth
So come and ride with the Silver Surfer
Now will it all in from the element
Of ether or artificial intelligence
As long as we both have the passion
The sex it just makes all the issues irrelevant
I know it's all about to go
So I just sit back and blow my dro
(Right before it does)
Steady looking at the clock,
Before we suffer let me make your body rock
Having sex till the big bomb drops
Or till the planet go pop
2012, The last day on Earth
2012, The end of the world
2012, You'll be my man and I'll be your girl
2012 x 7"
1,3 Minute Murder,2010,The Perfect Storm (2010),Midwest Rap,Twista,"Uh, Uh, Y'all already know what it is
Niggaz talkin' bout Twista this Twista that
All I know is Twista rap I spit nigga, fuck y'all, check it out
Twis' got skill Yes I kill
I could ride on they ass like Buffalo Bill
I be winnin' in the game like them niggas in the south
If a nigga talkin' shit I'm quick to hit 'em in the mouth
Them lyrics that's the shit I be equipped to spit 'em out
And Imma make a nigga sick 'cause I got venom in the mouth
Antonyms and synonyms are spinnin him out of his route
And I got bricks of money bitch and I can't fit 'em in the couch
Kill 'em with the ride paints hard with the deep dish
Kill 'em wit syllables quick wit 8 bars in a sequence
I am the bidness I gotta charge you to peep this
Niggaz can't see me I'm ray Charles or a eclipse
Stevie in the blackout see me with the Mack out
Twista gon get money like a GD in a crack house
When it come to flows Imma spit 'em like they cold
When it come to niggaz heads Imma split it like a pole
Take away they swag and shit on they cocky style
'Cause my lyrics be too quick they call me Twista Pacquiao
Come solo wit my k-olo when you see my logo come take my photo when I'm on promo
Niggas wanna get me they better pick a new regimen
Shit too sick B somebody better go get you medicine
Not bringin' up Twista I'm makin' the issue relevant
Balls bigger than mine betta go get 2 elephants
I be getting grimy but you and yo click too elegant
Beat yo face up till yo jaw tissue look like a pelican
I be steady whoopin yo ass just fo the hell of it
Can't nobody fuck wit me the planet is celibate
I kick a hot flow, get it like Harpo
Brief when I rhyme teeth shine like a car show
Wit a thick bitch, go head check out my cargo
You know one gon be wit me wherever my car go
Where yo baby at where yo white Mercedes
At ill let you borrow the Bentley as long as you bring it back
Here, a couple stacks, you ain't gotta pay me back
Me and yo boss kick it and he know where the ladies at
Whether we comin' and killin' and murderin 'cause I beat down the block
Or because I'm like ?throw ya hands up' 'cause it's hip hop
I'd rather be rappin' about the streets and makin' a quick pot
But it's time to do something so the shorties don't get popped
Meanwhile back to the lab I got the desert eagle
Come on yo muthafuckin tip and kill a lot of people
Throw up on a priest let him know I ain't no reverend
Either dat I go where the fuck I want I'm up in heaven evil
U ain't gotta tell me I know I spit bars sick
E-mail, anthrax, flows kick arsenic
G-up genie and throw it up I'm car sick
Cut raw dope deez nigga cut garbage
Lethargic give a bitch hard dick see my niggaz and I say salute like a sergeant
Can't lie I'm one of the coldest artists so I wouldn't have yo bitch up in my apartment
So I be passin out fuck you flyers da fakers and heaters and then fuck liars
If yo' shit ain't one been one minded the swine flu h1n1 virus
Am I like Jason no I'm more like Michael Myers
I am the shit I need to wear diapers
When I spit it sometimes I'm all to philosophical
Blame it on the Don Julio and killer tropical
Twista got more swag than a rich sissy
But don't get prissy muthafuckas can get grilly
Imma balla and a boss and yes I'm finna get paid
Takin' flames to the head like I'm Nicolas Cage
I ghost ride the whip I'm finna get laid
Any niggaz dat try to get me is finna get sprayed
One day it's possible dat I'm finna get saved
But for now I be getting money I'm finna get paid muthafucka
Fucka... fucka... fucka... fucka"
2,411,2002,Legit Ballaz: Respect the Game Vol. 3 (2002),Midwest Rap,Twista,"Why you all in my business
Why you really really want to know the 4-1-1
Is it cause that my game's tight
I can scoop a bitch and fuck her on the same night
(Verse 1: High Beam)
It was a, Saturday evening bout seven at night
White T, white thongs pockets feeling all right
I got a, call from one of my carmel chicks
She said I mean be careful I think they talking on some hate shit
Despite the talk of the town, I'ma be there
For 45 minutes when you hear the horn come down
And when she climbed in, I received a kiss and a hug
In a minute take off your shoes on a white persian rug
Wave your number rolling going to get bent
Why they sure call thugs mugging I see him right through the tent
He had the nerve enough to tap on my glass
But he ain't had enough light to peek in but I almost blast his ass
Is it cause that I'm known to bust
So quick to bump a bad bitch that y'all known to trust
So when you see me on them thangs in the cadillac truck
Man don't even know me when you see your bitch in the back or front
(Verse 2: Todd Nitty)
Foul, god damn you hagging
Sixteen block my wall you want to block my magic
Now you wondering no what Nitty be doing
While these bitches trying to find out who am I screwing
And I'm so, sick and tired of the motherfucking gossip
And I'm, sick and tired of the motherfucking coppers
They actually post up at the end of my block
Take a hoe from her spot just for trying to plot
(*Cop voice*)
(Todd Nitty)
And I'm like, damn friendly why you all on me
Man I'm out here slanging records shit I stopped selling weed
Tell me, are you mad cause you see what I drive
Or are you checking out these broads with the big ass thighs
It be my main bitch, getting on my last nerves
Closest now to the edge from getting kicked to the curb
She got a homegirl, all up in her hair
Maybe they just meant my hair's longer than her's
(Twista)
And I'm, sick of them haters that be all in my shit
Everytime I turn around somebody always be talking bout Twist
Want to know who got a baby by me, what does he drive, where my tip
Be all in my bidness because they heard that I've been bumping they chick
I ain't no lie, if I scoop your bitch up
I will, If I get scratch from her
Fold it up, if I tell her bend over
She won't get up, if I give up the bunch
What you need to know fo', you the player po-po
Steady beeking and poking paranoia smoking on too much doe-doe
Creeping all in my bid' no since I first splurged on a Rego
I got birds when I see you, I'm starting to think you work for them people
Hurt 'em when I tell 'em, I think you better ease up, cause everybody
Know you no G when it come to the money put some g's up
Until you hip lock and freeze up, you might as well
Turn around and go like the other way when I see you
(High Beam)
See me riding real slick thick and rolling on thangs
Got the misses and the bitches wanna know my name
They want to know what I'm on
Get the fuck up out of mine homie go on and get your own
Riding slick with the cherry wood grain
In my big boy truck with the candy paint
Why, bitches giving me brain
I know you want to ball like me but you can't
Stay the fuck up out my business man"
3,6 Rings,2014,Dark Horse (2014),Midwest Rap,Twista,"It's just me against the world and I won't lose
No I can't lose, I'm a born winner
These streets made a beast out of me
Six rings on my fingers
I'm a champion
Put your fives and your ones up
6 rings, I'm a champion
Getting money, put your ones up
6 rings I'm a champion
Now ball
Ball [x12]
6 rings I'm a champion
No worries, I been killing it since she was a shorty
Still standing on top of my glory, and this still ain't the end of my story
Confetti pouring, they be all in the clothes that I'm sporting
6 rings like Michael Jordan, same team no Robert Horry
Put me on the verbal court with my competitors
I'ma be fucking up all of them
Money like Steph Curry, and I dish it out to my team like Chris Paul and them (Griffin!)
So lose and you blame it on fouls and how they don't be calling them
I put in work, I got rings
You can't tell me nothing, I know I earned all of them
That winning feeling I want 'cause if I get the shot I bet I hit the shot
I'm in my glory while pouring champagne on my body like I was Chris Bosh
They won't admit it, how many times I came back and did it
They have no choice to be killing 'em when I spit it
Give me a standing ovation when I visit
Final four delivery, hall of fame flow
Right up in Nirvana is where my motherfucking hangs though
But I ain't finished yet, I'm the exquisite vet
They be like damn Twista they ain't knocked you off your pivot yet
Nope!
It's just me against the world and I won't lose
No I can't lose, I'm a born winner
These streets made a beast out of me
Six rings on my fingers
I'm a champion
Put your fives and your ones up
6 rings, I'm a champion
Getting money, put your ones up
6 rings I'm a champion
Now ball
Ball [x12]
6 rings I'm a champion
Who the fuck is you talking to? Nigga I got six rings
Swagging, my walk like I'm Jordan
I know when I'm hot, fingers look like Kareem
When I pull that whip up in front of the club I be knowing they seeing it
And whoever dissing this, 'cause they are fisherman watching the finals and we in it
The league of the streets
Winning the game with a three on the beat
Keeping that thang in the piano seat
One shot at your brain and they flee on their feet
Don't like you when you be like Michael
They run up thinking I be slipping
Long nose, 357 by my side, call me Scottie Pippen
And I'm on bullshit, call [?] about it, Willy said he southpaw
And I murder for the squad like an outlaw
Everything that I say coming out raw
Plenty niggas I know pulling up with a Glock and a key
Acting like they winning the game
Like they pulling up at the top of the key
But I got them accolades, and I spit that fast shit
You just an absurd sound, third round draft pick
And when I win the game, then right there is your history
Celebrate like we do in Chiraq, we gon' tear up the city
It's just me against the world and I won't lose
No I can't lose, I'm a born winner
These streets made a beast out of me
Six rings on my fingers
I'm a champion
Put your fives and your ones up
6 rings, I'm a champion
Getting money, put your ones up
6 rings I'm a champion
Now ball
Ball [x12]
6 rings I'm a champion"
4,Adrenaline Rush,1997,Adrenaline Rush (1997),Midwest Rap,Twista,"What happens when you combine the darkness with the light?
(Yungbuck)
I'm bringing pain like two bad nurses, and the pain from these here
Motherfuckin verses ridiculous thirstses involving hearses
To the dirt shit first picks and use'n autos to work with
Slugs to the shirt shit (just to squirt shit)
A wicked hit with an expert kick
And burst till the earth split leave you hurt bitch
Show you how worser than worst get in the zone
See the vein when the pain repel
And then they closin the curtains bitch
(When adrenaline's pumpin')
I don't understand discussion, only hear certain shit
I'm a misunderstood nigga and I'm off my square high
Got me reversin clips and dispersin shit
(Twista)
What can I say to make you see how the fuck I feel
To make me wanna jump off of the edge
I'm charged off of suckers gettin' shot up off the ledge
No pain, instead of 'caine I took a blunt off to the head
(So tell me what it said)
Retaliate with lethal repercussion
I feel the reefer rushin
To go into thangs, like it's a wicked stick
Took the Benadryl, hot like I'm fin' ta steal
To get the kickin shit
For niggaz and bitches that I kick it with
I was born to get you pumped up
It's like some lead bust 'cause I give motherfuckers a head rush
Then yo' head bust when you jumped up
'Cause what I said must've got you geeked, my eyes red puffed
From smokin' shit that niggaz hit on to die
Make me wanna slip the clip on the side
And if you act a bitch on the side, if we have to
Then the whole Westside'll let the shit go on and ride
When the trigga bust
(Chorus: repeat 2X)
That's your adrenaline rush
Like when a motherfucker have to go pick up the pump
To make his opposition chest kick up and jump
When you lit up the gun to make your body get up and uh
That's your adrenaline rush
Like when a motherfucker have to go pick up the pump
To make a trigger pick up and dump
So turn the bass, kick up and bump
And let the rhythm hit off the trunk
(Twista)
Pullin up and bailin out like we're carsick, I'm ready to start shit
Start up buryin some heads like an ostrich
And unload the whole cartridge and throw the shells out the garbage
The hardest of motherfuckers could never achieve what I've accomplished
Yungbuck's my accomplice
Located his existence with my sixth sense like a compass
And starting on a journey established to stop this
Rushin up the hearts of the niggaz to get 'em charged
What's the real reason?
All you haters try to murder me so now it's kill season
And even though I'm still bleedin
I'ma keep comin' because I'm still breathin
And y'all can't trace me
I bury my victims in the wall like gacey too lyrical
And since its nipple my umbilical these flows is critical
This music is miracle like I'm biblical
Killin' like I'm nuttier than buddy love
And still wouldn't leave a bloody glove and start the truck up
And speed the fuck up getaway smokin' this blunt
Dump the adrenaline eruptin my viens I'm pumped up
(Yungbuck)
And I'm calibrated at 360 degrees
See that's 300 niggaz that gon die about 60 slugs to do this deed
(Psycho Drama) we too much for the industrialistic fuck
With this on the brink of fuckin' up some shit
Dismantle deduct some shit
It's hard to imagine what niggaz got nerves to do
(What niggaz got nerves to do)
So I guess I'll just take that fuckin' nerve from you
Then think what I'm on the verge to do
And I got the urge to ooh let semi close yo curtains fool
From killin' the verses fool I be one of the worstest dude
(You the who?)
I'm the worstest workin about 9 millimeters above your surface
Unleash these thangs then I defeat yo purpose bitch you hurtin'"
5,Adrenaline Rush the Saga Continues,2007,Adrenaline Rush 2007 (2007),Midwest Rap,Twista,"What happens when you combine the darkness with the light?
I'm bringing pain like two bad nurses
And the pain from these here, motherfuckin' verses
Ridiculous thirstses involving hearses to the dirt, shit
First picks and use 'n' autos to work with slugs to the shirt, shit
(Just to squirt shit)
A wicked hit with an expert kick and burst till the earth split
Leave you hurt bitch, show you how worser than worst
Get in the zone, see the vein when the pain repel
And then they closin' the curtains, bitch
(When adrenaline's pumpin')
I don't understand discussion, only hear certain shit
I'm a misunderstood nigga and I'm off my square high
Got me reversin' clips and dispersin' shit
What can I say to make you see how the fuck I feel
To make me wanna jump off of the edge
I'm charged off of suckers gettin' shot up off the ledge
No pain, instead of 'caine I took a blunt off to the head
(So tell me what it said)
Retaliate with lethal repercussion, I feel the reefer rushing
To go into thangs, like it's a wicked stick
Took the Benadryl, hot like I'm fin' ta steal
To get the kickin' shit for niggaz and bitches that I kick it with
I was born to get you pumped up
It's like some lead bust 'cause I give motherfuckers a head rush
Then yo' head bust when you jumped up
'Cause what I said must've got you geeked, my eyes red puffed
From smokin' shit that niggaz hit on to die
Make me wanna slip the clip on the side
And if you act like a bitch on the side
If we have to then the whole Westside'll
Let the shit go on and ride when the trigga bust
(Let your adrenaline rush)
Like when a motherfucker have to go and pick up the pump
To make his opposition chest kick up and jump
When you lit up the gun to make your body get up and uh
(Let your adrenaline rush)
Like when a motherfucker have to go pick up the pump
To make a trigger pick up and dump
So turn the bass, kick up and bump
And let the rhythm hit off the trunk
(Let your adrenaline rush)
Like when a motherfucker have to go and pick up the pump
To make his opposition chest kick up and jump
When you lit up the gun to make your body get up and uh
(Let your adrenaline rush)
Like when a motherfucker have to go and pick up the pump
To make a trigger pick up and dump
So turn the bass, kick up and bump
And let the rhythm hit off the trunk
Pullin' up and bailin' out like we're carsick, I'm ready to start shit
Start up buryin' some heads like an ostrich
And unload the whole cartridge and throw the shells in the garbage
The hardest of motherfuckers could never achieve
What I've accomplished
Yungbuck's my accomplice
Located his existence with my sixth sense like a compass
And starting on a journey established to stop this
Rushing up the hearts of other niggaz to get 'em charged
What's the real reason?
All you haters try to murder me so now it's kill season
And even though I'm still bleedin'
I'm comin' after you 'cause I'm still breathin'
And y'all can't trace me
I bury my victims in the wall like Gacey, too lyrical
And since its nipple my umbilical these flows is critical
My music is miracle like I'm biblical
Killin' like I'm nuttier than buddy love
And still wouldn't leave a bloody glove and start the truck up
And speed the fuck up getaway smokin' this blunt
Dump the adrenaline eruptin' my veins I'm pumped up
And I'm calibrated at 360 degrees
See that's 300 niggaz that's gon die about 60 slugs to do this deed
(Psycho Drama)
We too much for the industrialistic fuck
With this on the brink of fuckin' up some shit
Dismantle, deduct some shit
It's hard to imagine what niggaz got nerves to do
(What niggaz got nerves to do)
So I guess I'll just take that fuckin' nerve from you
Then think what I'm on the verge to do
And I got the urge to ooh, let semi close yo curtains fool
From killin' the verses fool, I be one of the worstest dude
(You, the who?)
I'm the worstest workin' about 9 millimeters above your surface
Unleash these thangs then I defeat yo purpose, bitch you hurtin'
(Let your adrenaline rush)
Like when a motherfucker have to go and pick up the pump
To make his opposition chest kick up and jump
When you lit up the gun to make your body get up and uh
(Let your adrenaline rush)
Like when a motherfucker have to go and pick up the pump
To make a trigger pick up and dump
So turn the bass, kick up and bump
And let the rhythm hit off the trunk
(Let your adrenaline rush)
Like when a motherfucker have to go and pick up the pump
To make his opposition chest kick up and jump
When you lit up the gun to make your body get up and uh
(Let your adrenaline rush)
Like when a motherfucker have to go and pick up the pump
To make a trigger pick up and dump
So turn the bass, kick up and bump
And let the rhythm hit off the trunk
Let your adrenaline rush"
6,Ain't No Hoes,2007,Adrenaline Rush 2007 (2007),Midwest Rap,Twista,"(Twista:)
Buck buck buck buck buck right back at your ass, for the 07 we on some new shit, now you have tried and you have died, so from now on, the midwest is unified, and we bout to hit you wit some shit like this
(Hook: bone thugs)"
7,Alright,2009,Category F5 (2009),Midwest Rap,Twista,"Alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
On a scale of one to ten, what you rate yourself
Here's some champagne, hydrate yourself
I know I'm lookin' good, you lookin' great yourself
I mean you shittin' on these bitches, you should hate yourself
My style so cold I could skate myself
But I go so hard I could make it melt
I mean the flow so solar every bar
Could power an electric car
My, my, my, whips is side by side
He just talkin', mine's outside
Do you mind if I, take you on a test, do you have all-wheel drive?
And if that baby purr, I'm gonna baby her
Bitches gon' hate and maybe worse
'Cause your ice so brrr I copped you a baby fur
Just to work, I know you was on pur-pur
But this is a whole new arena
See, niggas come by talkin' bout they make it rain
I'll make that bitch Katrina
Mr. Kanye Omari, with my entourage, no Ari
And a motorcycle jacket, no Harley
She said dude, that's cool, gnarly
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Twista where you at? Abracadabra, did he vanish?
Hurry up and come out but I ain't want to panic
I say that I'm in the zone but they don't understand it
Physically I'm here but mentally I'm on another planet
And it only kinda made 'em look at me like I was stupider
Now they askin' which planet, is it Jupiter?
So I let the money show 'cause I know stacks could talk
I'm mackin' on bitches with my intergalactic thoughts
In my Mercedes Benz
Pull up on a chick and holla at her and her lady friends
Like as rich as an Arabian, I'm kickin' pure flows
Euros they pay me in
For what I put together in the dungeon
I'm lookin' for a UK chick with a nice onion
Never beat it up like Paul Bunyan
And I can't believe they let an American werewolf in London
Especially when drinking Gs with a tonic
Steady be trippin' while smokin' on the hydroponic
When I spit it like this they be callin' me bionic
Kanye with the Twist, nigga, how ironic
And I'm astonished haters don't wanna see me on
They wanna know how Twista get the easy dome
Swag off the chain, 23s be chrome
Artful Dodgers with the Yeezys on gone
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright, alright
I'm blowin' on flame but yours is all white
And I'ma pull up in the Bentley all white
Step up in the club with nothing but all dykes
Sippin' on some Louis and partyin' all night
Phony ass people, I don't feel they demeanor
So I hop in the rocket and go and chill over Venus
One of rap's heroes, who came from zero
Makin' something out of nothing, call me Gilbert Arenas
Now I'm fuckin' with divas that rock the stadiums
Blow my brains back 'til my face be numb
I am the shit: It don't make me numb
Rockin' wit a swagger like I got an eight-feet gun
And my flow be colossal 'cause I spit the impossible
Whether with rhythm or any tibble [unverifiable] I can do
See through a prism when I conquer an obstacle
And always get money no matter how illogical
I follow through because, uh
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright
Alright alright, alright
Alright alright, alright
Alright alright, alright
Alright, alright"
8,American Gangsta,2009,Category F5 (2009),Midwest Rap,Twista,"American gangster, US hustler
Home of the brave and in God we trust
I'm just a American gangster, US hustler
Home of the brave and in God we trust
I'm just a
Chi-Town bred
Because I got to rep the city to the death
Annihilate them till I don't see nothing left
Remember I spit it for the bitches
Now I'm spitting for the thugs
Hat cocked to the right
Hat cocked to the left
Brother it's a formal
It's a focus on your chest
I spit it for the lords
And the for the folks
And for the Crips and for the Bloods
I'm like an American dream
I role to the green
With the souls and the breeds
And the cobras a kings and the 2-16
Millimeter bullets for the niggas that
Trying to do opposite
They don't really want to see how psycho I can get
I don't really see a motherfucker stopping this
Trying to come at you and the apocalypse
.40 cal will have you screaming, ""I don't want to die!""
I am becoming nauseous with the fake thugs
So it's love
To the real G's and under bosses
To the niggas in the caller case
That got into it big
To get what nobody gave us
We was born into this system
So don't be mad at what you made us
Pull the pistol and cock it and bust in the sky
One time for the US
For turning my niggas to gangsters
Because getting money is what they do best
Hard to fight like I ever did like Al Capone
Gangsters is bosses
K-Town is the motherfucking hood
The Rock is the company, come and step into my office
Forever see me in a 'Lac
Got work but you never see me in a pack
A motherfucker say he never seen me with a strap
And I heard a motherfucker say he don't see me in the hood
Little nigga I don't see you
Because homie my hood is worldwide
And getting money is what we do
Make your knee joints lock when I freak you
Hit the 3 point shot like Hedo
Turkoglu up in the game
You killing the game like Pac
Nigga we point Glocks like he do, see you
No one will recognize I'm the maker of the Midwest
I'm like for real?
Controversy in the middle
I guess I'm like Shaquille
You can go on feel like you feel
Nigga know the hands I like to kill
But if you can hit me with the bangs
Little cheap for shit, let's strike the deal
Got my psychos in the city rolling with me
Always ready bust a cap at the king like do
I can bury your bodies like an animal
Because I'm a cannibal, I eat a nigga like food
Ripping through your flesh so I can devour your heart
Music is my playground
But if the rapping don't get you
I hit this head with the back of the pistol until this bitch nigga lay down
And no competition I had to be fucking a twig?
Whoever coming for me gangster
I'ma get it every time I want to get it
I'm living proof
It's a 'Category F5'"
9,Angel,2002,Legit Ballaz: Respect the Game Vol. 3 (2002),Midwest Rap,Twista,"Tell me why did they take Al B
They take Baby, Tyre
They killed Lil Chilla, my Mike and Corika
They're the dying and Koreme
Tell me why did they Al B, Al B yeah
Lil Chilla, my Mike, and Corika
They're the dying and Koreme
So heavenly father what are you trying to tell me
I guess I better bail up out this game
And whatever they call me a little lame ole' wee
A nigga fin to get up out these streets
Cause ain't a damn thang good happening for me
It seems I'ma be the next one to go, oh no
I'm out of everything mama told me
God's got his hands on you Geno
There was this angel, whoa oh oh oh
There was this angel, and it won't let me go
(Darkside Ballaz: Lo)
I cry in my ? pass me the tissue
They say I got issues
And I reply, I put my life on the line for mines
And that's my only damn mission
When D. Ski died, piece of mind was hard to find
D. Ski we miss you, sweeped nine roadies
From heaven rained down on me
As I write these scriptures, and I'll be fine
I had a whole lot of hell in me
Before we took them pictures, and even worse
Brothers and sisters started hating on me
After we took them bitches, 'cause then you get to take 'em first
Brothers and sisters started waiting on me
To represent for a hood, they never produce us nothing good
Ballas and killas out here waiting on me
To retrieve my goods and leave me stinking in a back wood
Heavenly father have mercy on me, in these struggling times
To tell the truth, it's so hard to be righteous and let my little light shine
(Darkside Ballaz: Sko)
This shit got me pissed off, we use to be like rollies
But now it's 2000, the motherfuckers don't even know me
If I'm right, pass me 'cause they lifted up a hand now
Blinded to 'em every time I get the trash now
Either could get put up on it, and coming up strong
We knew right from wrong, but still we stayed away from home
Over there on Konkress, kicking at the park with
A blessed up niggas that's down with me to your dark with
We'll meet again, I put this on a fiend
If it's possible they end up 'cause we gone drink again
Puffing on this dro ain't the same no mo'
Drinking on this henne shit just ain't the same no mo'
Oh, my nigga lost his life, at an early age
And I cry to this day, wishing that he could have stayed
Played the cards that he was dealt, records gone when it's dark
But my nigga roll in death, as the gauge exploded on the block
And just like Pac, I'ma paint a point of picture, kick it with you
Grab some tissue, wipe my eyes 'cause I miss you
God bless my niggas, I know you still here with us niggas
'Cause I could feel you, I could see you every time I look in the mirror
And not a word can hear you, 'cause I'm making these words clearer
You are my angel, and my nigga, from the drive-by to the trigga
Chi worldwide, whoever died on any side
(*Skit*)"
